collected_at,city,keyword,filename,event_count,status
2026-07-12T03:46:16,Barcelona,film festival,0,,0,failed
2026-07-12T03:46:16,Barcelona,film festival,1,,0,failed
2026-07-12T03:46:16,Barcelona,film festival,2,,0,failed
2026-07-12T03:46:16,Barcelona,comedy,0,,0,failed
2026-07-12T03:46:16,Barcelona,comedy,1,,0,failed
2026-07-12T03:46:16,Barcelona,comedy,2,,0,failed
2026-07-12T03:46:16,Barcelona,theatre,0,,0,failed
2026-07-12T03:46:16,Barcelona,theatre,1,,0,failed
2026-07-12T03:46:16,Barcelona,theatre,2,,0,failed
2026-07-12T03:47:08,Berlin,jazz,0,,0,failed
2026-07-12T03:47:08,Berlin,jazz,1,,0,failed
2026-07-12T03:47:08,Berlin,jazz,2,,0,failed
2026-07-12T03:47:08,Berlin,rock,0,,0,failed
2026-07-12T03:47:08,Berlin,rock,1,,0,failed
2026-07-12T03:47:08,Berlin,rock,2,,0,failed
2026-07-12T03:47:08,Berlin,classical,0,,0,failed
2026-07-12T03:47:08,Berlin,classical,1,,0,failed
2026-07-12T03:47:08,Berlin,classical,2,,0,failed
2026-07-12T03:47:08,Berlin,opera,0,,0,failed
2026-07-12T03:47:08,Berlin,opera,1,,0,failed
2026-07-12T03:47:08,Berlin,opera,2,,0,failed
2026-07-12T03:47:08,Berlin,museum,0,,0,failed
2026-07-12T03:47:08,Berlin,museum,1,,0,failed
2026-07-12T03:47:08,Berlin,museum,2,,0,failed
2026-07-12T03:47:08,Berlin,exhibition,0,,0,failed
2026-07-12T03:47:08,Berlin,exhibition,1,,0,failed
2026-07-12T03:47:08,Berlin,exhibition,2,,0,failed
2026-07-12T03:47:08,Berlin,film festival,0,,0,failed
2026-07-12T03:47:08,Berlin,film festival,1,,0,failed
2026-07-12T03:47:08,Berlin,film festival,2,,0,failed
2026-07-12T03:47:08,Berlin,comedy,0,,0,failed
2026-07-12T03:47:08,Berlin,comedy,1,,0,failed
2026-07-12T03:47:08,Berlin,comedy,2,,0,failed
2026-07-12T03:47:08,Berlin,theatre,0,,0,failed
2026-07-12T03:47:08,Berlin,theatre,1,,0,failed
2026-07-12T03:47:08,Berlin,theatre,2,,0,failed
2026-07-12T03:47:08,Amsterdam,jazz,0,,0,failed
2026-07-12T03:47:08,Amsterdam,jazz,1,,0,failed
2026-07-12T03:47:08,Amsterdam,jazz,2,,0,failed
2026-07-12T03:47:08,Amsterdam,rock,0,,0,failed
2026-07-12T03:47:08,Amsterdam,rock,1,,0,failed
2026-07-12T03:47:08,Amsterdam,rock,2,,0,failed
2026-07-12T03:47:08,Amsterdam,classical,0,,0,failed
2026-07-12T03:47:08,Amsterdam,classical,1,,0,failed
2026-07-12T03:47:08,Amsterdam,classical,2,,0,failed
2026-07-12T03:47:08,Amsterdam,opera,0,,0,failed
2026-07-12T03:47:08,Amsterdam,opera,1,,0,failed
2026-07-12T03:47:08,Amsterdam,opera,2,,0,failed
2026-07-12T03:47:08,Amsterdam,museum,0,,0,failed
2026-07-12T03:47:08,Amsterdam,museum,1,,0,failed
2026-07-12T03:47:08,Amsterdam,museum,2,,0,failed
2026-07-12T03:47:08,Amsterdam,exhibition,0,,0,failed
2026-07-12T03:47:08,Amsterdam,exhibition,1,,0,failed
2026-07-12T03:47:08,Amsterdam,exhibition,2,,0,failed
2026-07-12T03:47:08,Amsterdam,film festival,0,,0,failed
2026-07-12T03:47:08,Amsterdam,film festival,1,,0,failed
2026-07-12T03:47:08,Amsterdam,film festival,2,,0,failed
2026-07-12T03:47:08,Amsterdam,comedy,0,,0,failed
2026-07-12T03:47:08,Amsterdam,comedy,1,,0,failed
2026-07-12T03:47:08,Amsterdam,comedy,2,,0,failed
2026-07-12T03:47:08,Amsterdam,theatre,0,,0,failed
2026-07-12T03:47:08,Amsterdam,theatre,1,,0,failed
2026-07-12T03:47:08,Amsterdam,theatre,2,,0,failed
2026-07-12T03:47:08,Paris,jazz,0,,0,failed
2026-07-12T03:47:08,Paris,jazz,1,,0,failed
2026-07-12T03:47:08,Paris,jazz,2,,0,failed
2026-07-12T03:47:08,Paris,rock,0,,0,failed
2026-07-12T03:47:08,Paris,rock,1,,0,failed
2026-07-12T03:47:08,Paris,rock,2,,0,failed
2026-07-12T03:47:08,Paris,classical,0,,0,failed
2026-07-12T03:47:08,Paris,classical,1,,0,failed
2026-07-12T03:47:08,Paris,classical,2,,0,failed
2026-07-12T03:47:08,Paris,opera,0,,0,failed
2026-07-12T03:47:08,Paris,opera,1,,0,failed
2026-07-12T03:47:08,Paris,opera,2,,0,failed
2026-07-12T03:47:08,Paris,museum,0,,0,failed
2026-07-12T03:47:08,Paris,museum,1,,0,failed
2026-07-12T03:47:08,Paris,museum,2,,0,failed
2026-07-12T03:47:08,Paris,exhibition,0,,0,failed
2026-07-12T03:47:08,Paris,exhibition,1,,0,failed
2026-07-12T03:47:08,Paris,exhibition,2,,0,failed
2026-07-12T03:47:08,Paris,film festival,0,,0,failed
2026-07-12T03:47:08,Paris,film festival,1,,0,failed
2026-07-12T03:47:08,Paris,film festival,2,,0,failed
2026-07-12T03:47:08,Paris,comedy,0,,0,failed
2026-07-12T03:47:08,Paris,comedy,1,,0,failed
2026-07-12T03:47:09,Paris,comedy,2,,0,failed
2026-07-12T03:47:09,Paris,theatre,0,,0,failed
2026-07-12T03:47:09,Paris,theatre,1,,0,failed
2026-07-12T03:47:09,Paris,theatre,2,,0,failed
2026-07-12T03:47:09,London,jazz,0,,0,failed
2026-07-12T03:47:09,London,jazz,1,,0,failed
2026-07-12T03:47:09,London,jazz,2,,0,failed
2026-07-12T03:47:09,London,rock,0,,0,failed
2026-07-12T03:47:09,London,rock,1,,0,failed
2026-07-12T03:47:09,London,rock,2,,0,failed
2026-07-12T03:47:09,London,classical,0,,0,failed
2026-07-12T03:47:09,London,classical,1,,0,failed
2026-07-12T03:47:09,London,classical,2,,0,failed
2026-07-12T03:47:09,London,opera,0,,0,failed
2026-07-12T03:47:09,London,opera,1,,0,failed
2026-07-12T03:47:09,London,opera,2,,0,failed
2026-07-12T03:47:09,London,museum,0,,0,failed
2026-07-12T03:47:09,London,museum,1,,0,failed
2026-07-12T03:47:09,London,museum,2,,0,failed
2026-07-12T03:47:09,London,exhibition,0,,0,failed
2026-07-12T03:47:09,London,exhibition,1,,0,failed
2026-07-12T03:47:09,London,exhibition,2,,0,failed
